ticker,name,currency,exchange,industry,logo,weburl,environment_grade,environment_level,social_grade,social_level,governance_grade,governance_level,environment_score,social_score,governance_score,total_score,last_processing_date,total_grade,total_level,cik
afib,Acutus Medical Inc,USD,NASDAQ NMS - GLOBAL MARKET,Health Care,https://static.finnhub.io/logo/352bd59a63f14910c54166ecc5aa8f67ac11b7d8828185bc023d5915d7cf0457.png,http://www.acutusmedical.com/,B,Medium,B,Medium,B,Medium,205,211,235,651,10-06-2022,B,Medium,1522860
agen,Agenus Inc,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,https://static.finnhub.io/logo/9ccb30fe-80df-11ea-993b-00000000092a.png,https://agenusbio.com/,B,Medium,B,Medium,BB,Medium,290,245,300,835,16-04-2022,BB,Medium,1098972
afya,Afya Ltd,BRL,NASDAQ NMS - GLOBAL MARKET,Diversified Consumer Services,https://static.finnhub.io/logo/c57ab10fd72c2aa8b1db15524838647943d52bf5f5ad9be3c1f19d9c5c03a762.png,https://www.afya.com.br/,B,Medium,B,Medium,B,Medium,290,203,205,698,10-06-2022,B,Medium,1771007
agfs,AgroFresh Solutions Inc,USD,NASDAQ NMS - GLOBAL MARKET,Chemicals,https://static.finnhub.io/logo/b57e8700-80cf-11ea-b35b-00000000092a.png,https://www.agrofresh.com/,A,High,BB,Medium,B,Medium,500,301,275,1076,16-04-2022,BBB,High,1592016
agfy,Agrify Corp,USD,NASDAQ NMS - GLOBAL MARKET,Machinery,https://static.finnhub.io/logo/aa5216aab348419b7fcfc5d9d79e4b271d486e16e75a4938dee5bd2343263eb9.png,https://www.agrify.com/,A,High,BB,Medium,BB,Medium,540,361,305,1206,10-06-2022,A,High,1800637
agil,AgileThought Inc,USD,NASDAQ NMS - GLOBAL MARKET,Technology,https://static.finnhub.io/logo/becb547f102d410d67137477f782925246bd6ca61915f634a3fa91063ff51d0c.png,https://agilethought.com/,BB,Medium,B,Medium,BB,Medium,340,299,305,944,11-06-2022,BBB,High,1790625
agmh,AGM Group Holdings Inc,USD,NASDAQ NMS - GLOBAL MARKET,Financial Services,https://static.finnhub.io/logo/7f908b9c-80db-11ea-96c9-00000000092a.png,http://www.agmprime.com/,B,Medium,B,Medium,B,Medium,205,204,210,619,10-06-2022,B,Medium,1705402
agio,Agios Pharmaceuticals Inc,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,https://static.finnhub.io/logo/4298fc14-80ce-11ea-ace7-00000000092a.png,https://www.agios.com/,A,High,BB,Medium,BB,Medium,520,303,325,1148,16-04-2022,BBB,High,1439222
agle,Aeglea Bio Therapeutics Inc,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,https://static.finnhub.io/logo/523351d2-80d2-11ea-b332-00000000092a.png,https://www.aeglea.com/,B,Medium,B,Medium,B,Medium,205,223,200,628,16-09-2022,B,Medium,1636282
agnc,AGNC Investment Corp,USD,NASDAQ NMS - GLOBAL MARKET,Real Estate,https://static.finnhub.io/logo/2f35e91b0085245b224c9799c269249eec328a9687dcd6c3345b79a268802cb0.png,https://agnc.com/,BB,Medium,B,Medium,BB,Medium,382,242,305,929,16-04-2022,BBB,High,1423689
agri,AgriFORCE Growing Systems Ltd,USD,NASDAQ NMS - GLOBAL MARKET,Food Products,https://static.finnhub.io/logo/13b2627f534d45aba679196877fcbf2fe8af01324ddfa2aecc3dbba8c1132239.png,https://agriforcegs.com/,A,High,B,Medium,BB,Medium,510,248,305,1063,11-06-2022,BBB,High,1826397
agrx,Agile Therapeutics Inc,USD,NASDAQ NMS - GLOBAL MARKET,Pharmaceuticals,https://static.finnhub.io/logo/ce934c88-80cf-11ea-8207-00000000092a.png,https://www.agiletherapeutics.com/,B,Medium,B,Medium,B,Medium,240,203,260,703,16-04-2022,B,Medium,1261249
agys,Agilysys Inc,USD,NASDAQ NMS - GLOBAL MARKET,Technology,https://static.finnhub.io/logo/9f139b98-80df-11ea-bde1-00000000092a.png,https://www.agilysys.com/,A,High,BB,Medium,BB,Medium,500,303,300,1103,16-04-2022,BBB,High,78749
